fullname,head,ogrn,class
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ОЛИМПИЙСКИЙ СОВЕТ РОСТОВСКОЙ ОБЛАСТИ""","РОО ""ОЛИМПИЙСКИЙ СОВЕТ РО""",1096100002712,2
"КАМЧАТСКАЯ РЕГИОНАЛЬНАЯ ОРГАНИЗАЦИЯ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""РОССИЙСКИЙ СОЮЗ ВЕТЕРАНОВ АФГАНИСТАНА""","КРО ООО ""РОССИЙСКИЙ СОЮЗ ВЕТЕРАНОВ АФГАНИСТАНА""",1174101014306,7
"ЯРОСЛАВСКАЯ ОБЛАСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СПОРТИВНЫЙ КЛУБ ""ДИКИЕ МОТОРЫ""","ЯООО СК ""ДИКИЕ МОТОРЫ""",1167600050452,2
"АССОЦИАЦИЯ АВТОТРАНСПОРТНИКОВ ""БАШКИРСКАЯ ТРАНСПОРТНАЯ КОМПАНИЯ""","АА ""БТК""",1090200000098,12
МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД ХРАМА СВЯТОГО АРХИСТРАТИГА МИХАИЛА СТ. АРХАНГЕЛЬСКОЙ ТИХОРЕЦКОГО РАЙОНА КРАСНОДАРСКОГО КРАЯ ТИХОРЕЦКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ),,1032335022290,5
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""АССОЦИАЦИЯ ВЫПУСКНИКОВ ТУВИНСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА"" РЕСПУБЛИКИ ТЫВА",АВ ТУВГУ,1091700000314,5
"ТУВИНСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СЫНЫ НАРОДА ЗА ТРЕЗВОСТЬ""","ТРОО ""СЫНЫ НАРОДА ЗА ТРЕЗВОСТЬ""",1181700000129,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ОБРАЗОВАТЕЛЬНЫЙ ЦЕНТР ""ПЛАНЕТА""","АНО ДО ""ОБРАЗОВАТЕЛЬНЫЙ ЦЕНТР ""ПЛАНЕТА""",1170105002066,5
"ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""УЧЕБНО-МЕТОДИЧЕСКИЙ ЦЕНТР ""ГАРАНТИЯ ЗНАНИЙ""","ЧУ ДО ""УМЦ ""ГАРАНТИЯ ЗНАНИЙ""",1147600031083,5
"ЧЕЛЯБИНСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ВОЕННО - СПОРТИВНЫЙ КЛУБ ""ВЫСТРЕЛ""","ЧРОО ""ВОЕННО - СПОРТИВНЫЙ КЛУБ ""ВЫСТРЕЛ""",1197400000379,7
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ИННОВАЦИОННЫХ ТЕХНОЛОГИЙ""","АНО ""НИИ ИННОВАЦИОННЫХ ТЕХНОЛОГИЙ""",1167700069360,5
"АССОЦИАЦИЯ ""ЛИГА ДОБРОСОВЕСТНЫХ ПРЕДПРИНИМАТЕЛЕЙ""","АССОЦИАЦИЯ ""ЛДП""",1187800000387,5
"ЧАСТНОЕ УЧРЕЖДЕНИЕ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ШКОЛА ""МОРОЗКО""","ШКОЛА ""МОРОЗКО""",1027739440475,6
"БЕЛГОРОДСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СООБЩЕСТВО ПОТОМКОВ ВОИНОВ 1-ОЙ ГВАРДЕЙСКОЙ ВОЗДУШНО-ДЕСАНТНОЙ СТРЕЛКОВОЙ ДИВИЗИИ УЧАСТНИКОВ ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ""","БРОО ""СООБЩЕСТВО ПОТОМКОВ ВОИНОВ 1-ОЙ ГВАРДЕЙСКОЙ ВОЗДУШНО-ДЕСАНТНОЙ СТРЕЛКОВОЙ ДИВИЗИИ УЧАСТНИКОВ ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ""",1173100000061,7
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ДОБРЫЕ СЕРДЦА ДАГЕСТАНА""","ФОНД ""ДОБРЫЕ СЕРДЦА ДАГЕСТАНА""",1180571000081,1
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СОЮЗ ЮРИСТОВ СЕВАСТОПОЛЯ""","РОО ""СОЮЗ ЮРИСТОВ СЕВАСТОПОЛЯ""",1159204019479,8
"КРАСНОЯРСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПО РАЗВИТИЮ ГОРОДСКОЙ СРЕДЫ ""ЖИВОЙ ГОРОД""","КРООРГС ""ЖИВОЙ ГОРОД""",1162468106790,9
"ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""РОСТОВСКИЙ ЦЕНТР ПОВЫШЕНИЯ КВАЛИФИКАЦИИ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ И СВЯЗИ""","ЧОУ ДПО ""РЦПК ИТС""",1046164007372,4
ПЕРВИЧНАЯ ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ СЕВЕРО-ВОСТОЧНОГО ФЕДЕРАЛЬНОГО УНИВЕРСИТЕТА ИМЕНИ М.К. АММОСОВА,ППО СВФУ,1021400000984,5
"СЕВАСТОПОЛЬСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ИСТОРИЧЕСКИЙ КЛУБ ""КЛИО""","СРОО ""ИСТОРИЧЕСКИЙ КЛУБ ""КЛИО""",1159204026409,6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕСУРСНЫЙ ЦЕНТР ""РАЗВИТИЕ""","АНО РЦ ""РАЗВИТИЕ""",1130600000387,12
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЦЕНТР ПОДДЕРЖКИ ИССКУСТВ ""ПЛАСТИЛИНОВЫЙ ДОЖДЬ""","АНО ""ПЛАСТИЛИНОВЫЙ ДОЖДЬ""",1156300000603,7
"УНИТАРНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""МЕСТО ПОД СОЛНЦЕМ""","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""МЕСТО ПОД СОЛНЦЕМ""",1137800002152,1
МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД ХРАМА БЛАЖЕННОЙ МАТРОНЫ МОСКОВСКОЙ С. ЧАНТЫРЬЯ КОНДИНСКОГО РАЙОНА ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ТЮМЕНСКОЙ ОБЛАСТИ ЮГОРСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ),,1168600050915,7
"НЕКОММЕРЧЕСКОЕ ПАРТНЕРСТВО ""ХОККЕЙНЫЙ КЛУБ ""СЕВЕРНЫЕ ХАСКИ""","НП ""ХК ""СЕВЕРНЫЕ ХАСКИ""",1145100000143,4
"ОБРАЗОВАТЕЛЬНОЕ ЧАСТНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ИНСТИТУТ СТРАН ВОСТОКА""","ОЧУ ВО ""ИНСТИТУТ СТРАН ВОСТОКА""",1027700574615,5
"ИРКУТСКАЯ РЕГИОНАЛЬНАЯ БЛАГОТВОРИТЕЛЬНАЯ МОЛОДЕЖНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""НАШ ГОРОД""","МОЛОДЕЖНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""НАШ ГОРОД""",1113800001182,12
"САМАРСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ОБЩЕСТВО ДЕТЕЙ-ИНВАЛИДОВ С ДИАБЕТОМ И ИХ СЕМЕЙ""",СРОО ОДИДИС,1166313084167,2
"ВЛАДИМИРСКАЯ ГОРОДСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ИНВАЛИДОВ ""ПОДДЕРЖКА""","ВГООИ ""ПОДДЕРЖКА""",1183328011910,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ШКОЛА ТАНЦЕВ ИМПУЛЬС""","АНО ""ШТ ИМПУЛЬС""",1173100001117,5
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ДОПРИЗЫВНОЙ ПОДГОТОВКИ ""БАЛТИЙСКИЙ РЕДУТ""","РОО ""ЦДП ""БАЛТИЙСКИЙ РЕДУТ""",1184700000044,2
АССОЦИАЦИЯ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ПОТРЕБИТЕЛЬСКОЙ КООПЕРАЦИИ,АСООПК,1057746052682,1
МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД ХРАМА ПОХВАЛЫ ПРЕСВЯТОЙ БОГОРОДИЦЫ ГОРОДА АЗОВА РОСТОВСКОЙ ОБЛАСТИ РОСТОВСКОЙ-НА-ДОНУ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ),,1156100000869,6
"САНКТ-ПЕТЕРБУРГСКАЯ БЛАГОТОВОРИТЕЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ДУША РЕБЕНКА""","ОБО ""ДУША РЕБЕНКА""",1037858011443,7
КЫЗЫЛСКАЯ ГОРОДСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТУВИНСКОЙ РЕСПУБЛИКАНСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ВСЕРОССИЙСКОГО ОБЩЕСТВА ИНВАЛИДОВ,КЫЗЫЛСКАЯ ГОРОДСКАЯ ОРГАНИЗАЦИЯ ВСЕРОССИЙСКОГО ОБЩЕСТВА ИНВАЛИДОВ,1021700001091,1
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ СЕЛА МАЙЯ ""ТУМЭН"" (ОБЪЕДИНЕНИЕ) МЕГИНО-КАНГАЛАССКОГО УЛУСА РЕСПУБЛИКИ САХА (ЯКУТИЯ)","МОО ССЭР ""ТУМЭН""",1181447000393,7
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ ОБРАЗОВАНИЯ ""ПОЗНАНИЕ""","БФПО ""ПОЗНАНИЕ""",1135000006250,5
"ТОМСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПО ОКАЗАНИЮ ПОМОЩИ В СОЦИОКУЛЬТУРНОЙ РЕАБИЛИТАЦИИ, АДАПТАЦИИ И ИНТЕГРАЦИИ ИНВАЛИДОВ ВСЕХ КАТЕГОРИЙ ""ОБЩЕСТВО ДОСТУПНАЯ СРЕДА""","""ОБЩЕСТВО ДОСТУПНАЯ СРЕДА""",1167000050051,1
"АССОЦИАЦИЯ ОРГАНИЗАТОРОВ ДЕТСКОГО, МОЛОДЕЖНОГО И СЕМЕЙНОГО ОТДЫХА И ОЗДОРОВЛЕНИЯ РЕСПУБЛИКИ БАШКОРТОСТАН ""МЫ И ДЕТИ""","АССОЦИАЦИЯ ОРГАНИЗАТОРОВ ДЕТСКОГО ОТДЫХА И ОЗДОРОВЛЕНИЯ БАШКОРТОСТАНА ""МЫ И ДЕТИ""",1150280032275,6
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ БОКСА ТАЙШЕТСКОГО РАЙОНА""","ОО ""ФЕДЕРАЦИЯ БОКСА ТАЙШЕТСКОГО РАЙОНА""",1163850089545,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ БЛАГОТВОРИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ГАРМОНИЧНОГО РАЗВИТИЯ ДЕТЕЙ И ПОДРОСТКОВ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ ""ВСЕ ДЛЯ ДЕТЕЙ""","АНО ""ВСЕ ДЛЯ ДЕТЕЙ""",1191690090437,3
"САРАТОВСКАЯ РЕГИОНАЛЬНАЯ ФИЗКУЛЬТУРНО-СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ТЕРРИТОРИЯ СПОРТА""","СРФСОО ""ТЕРРИТОРИЯ СПОРТА""",1156451030889,2
"ПЕРВИЧНАЯ ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ ПРОФСОЮЗА РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ РФ ГАУЗ КО ""АНЖЕРО-СУДЖЕНСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""",ППО ГАУЗ КО АСГБ,1184200000423,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ГРАЖДАН ""СОДЕЙСТВИЕ""","АНО СОГ ""СОДЕЙСТВИЕ""",1171326000966,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР НЕЗАВИСИМЫХ СОЦИАЛЬНЫХ ИССЛЕДОВАНИЙ-ИРКУТСК""","АНО ""ЦНСИО""",1023801019769,5
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ РЕГИОНАЛЬНЫЙ ЦЕНТР СПОРТИВНО-ПАТРИОТИЧЕСКОГО ВОСПИТАНИЯ ""ВИТЯЗИ ПОДМОСКОВЬЯ""","АНО РЦ ""ВИТЯЗИ""",1145000002399,4
"БЕЛОКАЛИТВИНСКАЯ ГОРОДСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ЗАЩИТЫ ЖИВОТНЫХ ""ДОБРОЕ СЕРДЦЕ""","БГООЗЖ ""ДОБРОЕ СЕРДЦЕ""",1136100003676,9
"ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ОБРАЗОВАТЕЛЬНЫЙ ЦЕНТР ""ОТКРЫТОЕ ОБРАЗОВАНИЕ""",ЧОУ ДПО ОЦОО,1153443019190,7
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПРИМОРСКОГО КРАЯ ""ВОЕННО-СПОРТИВНОЕ МОЛОДЕЖНОЕ ПАТРИОТИЧЕСКОЕ ОБЪЕДИНЕНИЕ ""ТИХООКЕАНСКАЯ КАЗАЧЬЯ ФЛОТИЛИЯ""","ОО ПК ""ТИХООКЕАНСКАЯ КАЗАЧЬЯ ФЛОТИЛИЯ""",1182500000088,7
МЕСТНАЯ ПРАВОСЛАВНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРИХОД ВО ИМЯ МИХАИЛА АРХАНГЕЛА Г. КУШВА СВЕРДЛОВСКОЙ ОБЛАСТИ НИЖНЕТАГИЛЬСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ),,1036605606696,3
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ИНВАЛИДОВ ИРКУТСКОГО РАЙОНА ИРКУТСКОЙ ОБЛАСТНОЙ ОРГАНИЗАЦИИ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ВСЕРОССИЙСКОЕ ОБЩЕСТВО ИНВАЛИДОВ""",ИРКУТСКАЯ РАЙОННАЯ ОРГАНИЗАЦИЯ ВОИ,1043800001134,1
"АЛТАЙСКАЯ КРАЕВАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ОПЕКУНОВ ДЕТЕЙ-СИРОТ И ДЕТЕЙ, ОСТАВШИХСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ ""ДОБРОЕ СЕРДЦЕ""","АКОО ""ДОБРОЕ СЕРДЦЕ""",1072202002762,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""СЕМЕЙНЫЙ КЛУБ ""БЕЛКА""","АНО ДО ""СК ""БЕЛКА""",1183600000748,3
ФОНД СОХРАНЕНИЯ И РАЗВИТИЯ ЭРЗЯНСКОГО ЭТНОКУЛЬТУРНОГО НАСЛЕДИЯ,,1021300007475,5
"НЕКОММЕРЧЕСКОЕ ПАРТНЕРСТВО ""НЕЗАВИСИМАЯ АССОЦИАЦИЯ ПЕРЕВОДЧИКОВ И ПЕДАГОГОВ""","НП ""НАПИП""",1037735013260,4
"НОВОСИБИРСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПОДДЕРЖКИ ДЕТЕЙ И МОЛОДЕЖИ ""МОЛОДАЯ СИБИРЬ""","НРОО ПДМ ""МОЛОДАЯ СИБИРЬ""",1165476114715,4
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""СОЦИАЛЬНЫЙ ЦЕНТР РАЗВИТИЯ ЛИЧНОСТИ ""ДЕТСКАЯ АКАДЕМИЯ ИСКУССТВ""","АНО ""ДАИ""",1195275053093,3
"АССОЦИАЦИЯ ""СЕЛЬСКОГО И АГРО-ТУРИЗМА КАЛУЖСКОЙ ОБЛАСТИ""","АССОЦИАЦИЯ ""САТКО""",1154000000186,6
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ДЛЯ ПОМОЩИ ПРЕСТАРЕЛЫМ, ТЯЖЕЛОБОЛЬНЫМ И ЛЮДЯМ, ОКАЗАВШИМСЯ В ТРУДНОЙ ЖИЗНЕННОЙ СИТУАЦИИ ""ТЕПЛЫЕ РУКИ""","БФ ""ТЕПЛЫЕ РУКИ""",1151690093170,1
"АССОЦИАЦИЯ ЛЮБИТЕЛЕЙ РЕГБИ РЕСПУБЛИКИ МАРИЙ ЭЛ ""КРАСНЫЙ ГОРОД""","АССОЦИАЦИЯ РМЭ ""КРАСНЫЙ ГОРОД""",1171215004553,2
"ИРКУТСКАЯ РЕГИОНАЛЬНАЯ ФИЗКУЛЬТУРНО-СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""БАЙКАЛЬСКАЯ ФЕДЕРАЦИЯ АЙКИДО""","ИРФСОО ""БФА""",1193850014984,2
"ЧАСТНОЕ УЧРЕЖДЕНИЕ ""МЕДИАЦИЯ И КОНСУЛЬТИРОВАНИЕ В КОНФЛИКТЕ""","ЧУ ""МЕДИАЦИЯ И КОНСУЛЬТИРОВАНИЕ В КОНФЛИКТЕ""",1187800001070,12
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ МОТОЦИКЛЕТНОГО СПОРТА РЕСПУБЛИКИ МАРИЙ ЭЛ""","РОО ""ФМС РМЭ""",1161215060181,2
"КОМИ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ СМЕШАННОГО БОЕВОГО ЕДИНОБОРСТВА (ММА) РЕСПУБЛИКИ КОМИ""",ФЕДЕРАЦИЯ ММА РК,1121100000449,2
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ДОБРЫЕ ЛЮДИ""","БФ ""ДОБРЫЕ ЛЮДИ""",1155000001859,9
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ДЕТСКОГО ФИЗКУЛЬТУРНО-ОЗДОРОВИТЕЛЬНОГО И ТВОРЧЕСКОГО РАЗВИТИЯ ""НОВОЕ ПОКОЛЕНИЕ""","АНО ""ЦЕНТР ""НОВОЕ ПОКОЛЕНИЕ""",1127300000013,4
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТЕРРИТОРАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ""ЮЖНЫЙ"" ГОРОДСКОГО ПОСЕЛЕНИЯ ""ПОСЕЛОК РОВЕНЬКИ"" МУНИЦИПАЛЬНОГО РАЙОНА ""РОВЕНЬСКИЙ РАЙОН"" БЕЛГОРОДСКОЙ ОБЛАСТИ","ТОС ""ЮЖНЫЙ""",1183100002250,2
"АССОЦИАЦИЯ ""СИБИРСКАЯ ПАЛАТА РЕМЕСЕЛ""","АССОЦИАЦИЯ ""СПР""",1155476083685,6
"ОБЩЕСТВЕННАЯ СПОРТИВНАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ ПЛАВАНИЯ ГОРОДА ХАНТЫ-МАНСИЙСКА""","ОСО ""ФЕДЕРАЦИЯ ПЛАВАНИЯ ГОРОДА ХАНТЫ-МАНСИЙСКА""",1118600000815,2
"КРАСНОДАРСКАЯ ГОРОДСКАЯ ДЕТСКО-ЮНОШЕСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ШКОЛЬНЫЙ КРАЕВЕДЧЕСКИЙ ПОИСКОВЫЙ ОТРЯД ""ПАТРИОТЫ КУБАНИ""","КГДЮОО ""ШКОЛЬНЫЙ КРАЕВЕДЧЕСКИЙ ПОИСКОВЫЙ ОТРЯД ""ПАТРИОТЫ КУБАНИ""",1192375061350,4
МЕСТНАЯ СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ МАРТЫНОВСКОГО РАЙОНА,МСООМР,1176100001593,2
НАЦИОНАЛЬНАЯ АССОЦИАЦИЯ АВТОРОВ И ПРАВООБЛАДАТЕЛЕЙ,НААП,1177700006054,4
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ РАЗВИТИЯ И ПОДДЕРЖКИ ТВОРЧЕСКИХ ЛЮДЕЙ И ТВОРЧЕСТВА В ЛЮДЯХ ""ГРАНИ ТАЛАНТА"" ГОРНОГО УЛУСА РЕСПУБЛИКИ САХА (ЯКУТИЯ)","МОО РАЗВИТИЯ И ПОДДЕРЖКИ ТВОРЧЕСКИХ ЛЮДЕЙ И ТВОРЧЕСТВА В ЛЮДЯХ ""ГРАНИ ТАЛАНТА"" ГОРНОГО УЛУСА РС (Я)",1201400000141,1
"ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ""ЕДИНСТВО""","ТОС ""ЕДИНСТВО""",1176500000027,6
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ИМЕНИ СЕСТРЫ МИЛОСЕРДИЯ ЕКАТЕРИНЫ БАКУНИНОЙ""","ФОНД ""ЕКАТЕРИНЫ БАКУНИНОЙ""",1106900001911,7
"НЕКОММЕРЧЕСКОЕ ПАРТНЕРСТВО ПРОФЕССИОНАЛЬНЫХ УЧАСТНИКОВ РЫНКА СПУТНИКОВОГО МОНИТОРИНГА ПОДВИЖНЫХ И СТАЦИОНАРНЫХ ОБЪЕКТОВ ""ГЛОНАСС-РЕГИОНАМ""","НП ""ГЛОНАСС-РЕГИОНАМ""",1145700000104,7
"ХУТОРСКОЕ КАЗАЧЬЕ ОБЩЕСТВО ""ПЕРВОМАЙСКОЕ"" ЮРТОВОГО КАЗАЧЬЕГО ОБЩЕСТВА ""МИЛЛЕРОВСКИЙ ЮРТ"" ОКРУЖНОГО КАЗАЧЬЕГО ОБЩЕСТВА ДОНЕЦКОГО ОКРУГА ВОЙСКОВОГО КАЗАЧЬЕГО ОБЩЕСТВА ""ВСЕВЕЛИКОЕ ВОЙСКО ДОНСКОЕ""","ХКО ""ПЕРВОМАЙСКОЕ""",1136100004006,7
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО ЗАЩИТЕ ОБЪЕКТОВ ЖИВОТНОГО МИРА, ВОДНЫХ БИОЛОГИЧЕСКИХ РЕСУРСОВ БЕЛГОРОДСКОЙ ОБЛАСТИ","АНО ""ЭКОЗАЩИТА-31""",1163100000436,9
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ИННОВАЦИОННЫЙ ЦЕНТР ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ И ЦИФРОВОЙ ПЕДАГОГИКИ""","АНО ДПО ""ИЦПОИЦП""",1180280001769,5
"МЕЖДУНАРОДНЫЙ СОЮЗ БЛАГОТВОРИТЕЛЬНЫХ ОБЩЕСТВЕННЫХ ОРГАНИЗАЦИЙ ""МУЖЕСТВО И ГУМАНИЗМ""","МЕЖДУНАРОДНЫЙ СОЮЗ ""МУЖЕСТВО И ГУМАНИЗМ""",1047746003700,5
"РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ""ОРЛОВСКАЯ ЕПАРХИЯ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ)""",,1045700000433,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЦЕНТР ПРОВЕДЕНИЯ СПОРТИВНЫХ МЕРОПРИЯТИЙ ""УФИМСКИЙ МАРАФОН""","АНО ЦПСМ ""УФИМСКИЙ МАРАФОН""",1150280049644,2
"САЛЬСКАЯ РАЙОННАЯ ОБЩЕСТВЕННАЯ ДИАБЕТИЧЕСКАЯ ОРГАНИЗАЦИЯ ИНВАЛИДОВ ""НАДЕЖДА""",,1026100023366,2
